date,PortfolioValue,Capital,Shares
2026-02-24 22:15:00,99933.2734375,99933.2734375,0.0
2026-02-24 22:30:00,99933.2734375,99933.2734375,0.0
2026-02-24 22:45:00,99933.2734375,99933.2734375,0.0
2026-02-24 23:00:00,99933.2734375,99933.2734375,0.0
2026-02-24 23:15:00,99933.2734375,99933.2734375,0.0
2026-02-24 23:30:00,99933.2734375,99933.2734375,0.0
2026-02-24 23:45:00,99933.2734375,99933.2734375,0.0
2026-02-25 00:00:00,99933.2734375,99933.2734375,0.0
2026-02-25 00:15:00,99933.2734375,99933.2734375,0.0
2026-02-25 00:30:00,99933.2734375,99933.2734375,0.0
2026-02-25 00:45:00,99933.2734375,99933.2734375,0.0
2026-02-25 01:00:00,99908.15625,74786.421875,0.38231998682022095
2026-02-25 01:15:00,100079.8828125,74786.421875,0.38231998682022095
2026-02-25 01:30:00,100000.8828125,74786.421875,0.38231998682022095
2026-02-25 01:45:00,99991.34375,74786.421875,0.38231998682022095
2026-02-25 02:00:00,100111.75,74786.421875,0.38231998682022095
2026-02-25 02:15:00,100075.6484375,74786.421875,0.38231998682022095
2026-02-25 02:30:00,99994.8046875,74786.421875,0.38231998682022095
2026-02-25 02:45:00,99980.734375,74786.421875,0.38231998682022095
2026-02-25 03:00:00,99953.953125,74786.421875,0.38231998682022095
2026-02-25 03:15:00,99870.78125,74786.421875,0.38231998682022095
2026-02-25 03:30:00,99815.4375,74786.421875,0.38231998682022095
2026-02-25 03:45:00,99793.4375,74786.421875,0.38231998682022095
2026-02-25 04:00:00,99803.65625,74786.421875,0.38231998682022095
2026-02-25 04:15:00,99850.296875,74786.421875,0.38231998682022095
2026-02-25 04:30:00,99848.6875,99848.6875,0.0
2026-02-25 04:45:00,99848.6875,99848.6875,0.0
2026-02-25 05:00:00,99848.6875,99848.6875,0.0
2026-02-25 05:15:00,99848.6875,99848.6875,0.0
2026-02-25 05:30:00,99848.6875,99848.6875,0.0
2026-02-25 05:45:00,99848.6875,99848.6875,0.0
2026-02-25 06:00:00,99848.6875,99848.6875,0.0
2026-02-25 06:15:00,99848.6875,99848.6875,0.0
2026-02-25 06:30:00,99848.6875,99848.6875,0.0
2026-02-25 06:45:00,99848.6875,99848.6875,0.0
2026-02-25 07:00:00,99848.6875,99848.6875,0.0
2026-02-25 07:15:00,99848.6875,99848.6875,0.0
2026-02-25 07:30:00,99848.6875,99848.6875,0.0
2026-02-25 07:45:00,99848.6875,99848.6875,0.0
2026-02-25 08:00:00,99848.6875,99848.6875,0.0
2026-02-25 08:15:00,99848.6875,99848.6875,0.0
2026-02-25 08:30:00,99848.6875,99848.6875,0.0
2026-02-25 08:45:00,99848.6875,99848.6875,0.0
2026-02-25 09:00:00,99848.6875,99848.6875,0.0
2026-02-25 09:15:00,99848.6875,99848.6875,0.0
2026-02-25 09:30:00,99848.6875,99848.6875,0.0
2026-02-25 09:45:00,99848.6875,99848.6875,0.0
2026-02-25 10:00:00,99848.6875,99848.6875,0.0
2026-02-25 10:15:00,99848.6875,99848.6875,0.0
2026-02-25 10:30:00,99848.6875,99848.6875,0.0
2026-02-25 10:45:00,99848.6875,99848.6875,0.0
2026-02-25 11:00:00,99848.6875,99848.6875,0.0
2026-02-25 11:15:00,99848.6875,99848.6875,0.0
2026-02-25 11:30:00,99848.6875,99848.6875,0.0
2026-02-25 11:45:00,99848.6875,99848.6875,0.0
2026-02-25 12:00:00,99848.6875,99848.6875,0.0
2026-02-25 12:15:00,99848.6875,99848.6875,0.0
2026-02-25 12:30:00,99848.6875,99848.6875,0.0
2026-02-25 12:45:00,99848.6875,99848.6875,0.0
2026-02-25 13:00:00,99848.6875,99848.6875,0.0
2026-02-25 13:15:00,99848.6875,99848.6875,0.0
2026-02-25 13:30:00,99848.6875,99848.6875,0.0
2026-02-25 13:45:00,99848.6875,99848.6875,0.0
2026-02-25 14:00:00,99848.6875,99848.6875,0.0
2026-02-25 14:15:00,99848.6875,99848.6875,0.0
2026-02-25 14:30:00,99848.6875,99848.6875,0.0
2026-02-25 14:45:00,99820.1171875,71252.921875,0.42695000767707825
2026-02-25 15:00:00,99797.828125,71252.921875,0.42695000767707825
