date,open,high,low,close,volume
2026-01-03 11:15:00+00:00,89649.1640625,89711.9609375,89649.1640625,89683.984375,0
2026-01-03 11:30:00+00:00,89681.6953125,89725.4609375,89661.6328125,89722.3984375,3399680
2026-01-03 11:45:00+00:00,89726.1171875,89730.484375,89674.671875,89713.3671875,166625280
2026-01-03 12:00:00+00:00,89686.890625,89686.890625,89618.546875,89638.671875,102477824
2026-01-03 12:15:00+00:00,89630.171875,89716.171875,89621.09375,89716.171875,0
2026-01-03 12:30:00+00:00,89740.8046875,89742.1328125,89708.9140625,89742.1328125,92024832
2026-01-03 12:45:00+00:00,89757.21875,89969.359375,89757.21875,89922.1875,223920128
2026-01-03 13:00:00+00:00,89955.921875,89955.921875,89878.421875,89878.421875,121966592
2026-01-03 13:15:00+00:00,89881.0078125,89980.6953125,89881.0078125,89942.703125,0
2026-01-03 13:30:00+00:00,89917.7265625,89984.7421875,89912.453125,89929.3515625,0
2026-01-03 13:45:00+00:00,89926.359375,89983.9765625,89926.359375,89956.140625,10936320
2026-01-03 14:00:00+00:00,89953.1875,89993.6328125,89941.8828125,89985.734375,0
2026-01-03 14:15:00+00:00,89998.6328125,90160.0703125,89980.109375,90121.140625,339968
2026-01-03 14:30:00+00:00,90147.9609375,90183.1015625,90122.7578125,90128.625,0
2026-01-03 14:45:00+00:00,90125.6640625,90125.6640625,90043.8515625,90062.0703125,0
2026-01-03 15:00:00+00:00,90090.2265625,90090.2265625,89956.5078125,89968.2734375,0
2026-01-03 15:15:00+00:00,89966.2578125,90023.703125,89931.1875,90022.6953125,0
2026-01-03 15:30:00+00:00,90022.8984375,90039.3359375,89964.234375,89984.390625,0
2026-01-03 15:45:00+00:00,89952.9375,89958.0546875,89926.546875,89927.828125,0
2026-01-03 16:00:00+00:00,89917.1640625,89967.875,89917.1640625,89966.734375,0
2026-01-03 16:15:00+00:00,89969.953125,90027.484375,89875.0,90011.4453125,0
2026-01-03 16:30:00+00:00,90003.265625,90107.6640625,90003.265625,90087.8125,463179776
2026-01-03 16:45:00+00:00,90093.9609375,90147.7734375,90055.75,90055.75,0
2026-01-03 17:00:00+00:00,90057.7109375,90081.8203125,89985.140625,90014.90625,0
2026-01-03 17:15:00+00:00,90016.7890625,90025.53125,89979.828125,90011.03125,738097152
2026-01-03 17:30:00+00:00,90012.8203125,90064.5546875,90012.8203125,90053.78125,0
2026-01-03 17:45:00+00:00,90064.4765625,90064.4765625,90013.890625,90044.3828125,0
2026-01-03 18:00:00+00:00,90030.875,90035.0234375,89982.390625,89992.796875,0
2026-01-03 18:15:00+00:00,90003.515625,90135.5,90003.515625,90113.546875,0
2026-01-03 18:30:00+00:00,90122.3671875,90139.1171875,90087.953125,90087.953125,0
2026-01-03 18:45:00+00:00,90095.2265625,90111.2890625,90070.2578125,90090.171875,0
2026-01-03 19:00:00+00:00,90091.8671875,90091.8671875,90007.125,90008.546875,0
2026-01-03 19:15:00+00:00,90010.921875,90085.6015625,90010.921875,90085.6015625,0
2026-01-03 19:30:00+00:00,90095.0546875,90095.0546875,90075.640625,90075.640625,13860864
2026-01-03 19:45:00+00:00,90073.28125,90073.28125,90054.0,90056.625,0
2026-01-03 20:00:00+00:00,90065.5546875,90076.2890625,89992.4609375,90013.59375,0
2026-01-03 20:15:00+00:00,90017.6796875,90066.15625,90014.6875,90066.15625,6244352
2026-01-03 20:30:00+00:00,90062.7109375,90220.9140625,90062.7109375,90204.09375,0
2026-01-03 20:45:00+00:00,90235.9921875,90301.4765625,90235.9921875,90301.4765625,20082688
2026-01-03 21:00:00+00:00,90310.5,90310.5,90277.953125,90289.84375,0
2026-01-03 21:15:00+00:00,90308.9609375,90431.0234375,90307.796875,90405.5078125,47441920
2026-01-03 21:30:00+00:00,90409.75,90643.890625,90409.75,90555.6484375,203108352
2026-01-03 21:45:00+00:00,90503.9765625,90503.9765625,90433.03125,90486.7578125,13445120
2026-01-03 22:00:00+00:00,90487.3125,90487.3125,90450.015625,90473.2890625,0
2026-01-03 22:15:00+00:00,90503.25,90672.265625,90503.25,90631.0546875,118237184
2026-01-03 22:30:00+00:00,90568.53125,90647.15625,90531.6875,90568.2109375,93493248
2026-01-03 22:45:00+00:00,90559.5859375,90559.5859375,90464.4921875,90526.171875,637145088
2026-01-03 23:00:00+00:00,90548.421875,90602.0,90441.15625,90470.75,111605760
2026-01-03 23:15:00+00:00,90545.1875,90640.9453125,90545.1875,90572.734375,0
2026-01-03 23:30:00+00:00,90588.109375,90655.4609375,90588.109375,90634.5703125,92106752
2026-01-03 23:45:00+00:00,90629.515625,90629.515625,90589.796875,90600.7421875,55019520
2026-01-04 00:00:00+00:00,90615.3671875,91390.7265625,90615.3671875,91358.15625,1119133696
2026-01-04 00:15:00+00:00,91352.03125,91352.03125,91131.2109375,91185.8203125,701886464
2026-01-04 00:30:00+00:00,91060.625,91191.5859375,91050.9453125,91136.328125,222511104
2026-01-04 00:45:00+00:00,91111.046875,91350.9296875,91111.046875,91320.8984375,928876544
2026-01-04 01:00:00+00:00,91293.3515625,91386.375,91255.8515625,91269.6015625,361175040
2026-01-04 01:15:00+00:00,91241.3515625,91241.3515625,91088.546875,91108.0625,167155712
2026-01-04 01:30:00+00:00,91093.9765625,91097.375,90992.859375,90992.859375,235941888
2026-01-04 01:45:00+00:00,91060.9921875,91202.546875,90984.546875,91197.3046875,92874752
2026-01-04 02:00:00+00:00,91196.6640625,91223.734375,91075.6953125,91081.9375,48676864
2026-01-04 02:15:00+00:00,91109.9453125,91166.609375,91105.4140625,91166.609375,75292672
2026-01-04 02:30:00+00:00,91169.375,91226.046875,91111.2265625,91111.2265625,195436544
2026-01-04 02:45:00+00:00,91120.2265625,91120.2265625,91051.6953125,91072.4375,0
2026-01-04 03:00:00+00:00,91088.59375,91278.7578125,91088.59375,91278.7578125,218447872
2026-01-04 03:15:00+00:00,91300.4609375,91300.4609375,91133.453125,91133.453125,204591104
2026-01-04 03:30:00+00:00,91098.34375,91203.359375,91070.25,91203.359375,60452864
2026-01-04 03:45:00+00:00,91213.984375,91275.3203125,91205.828125,91205.828125,133640192
2026-01-04 04:00:00+00:00,91217.7890625,91247.2734375,91196.921875,91240.3515625,0
2026-01-04 04:15:00+00:00,91271.1875,91430.765625,91271.1875,91341.78125,200906752
2026-01-04 04:30:00+00:00,91330.96875,91519.984375,91324.4609375,91427.328125,62609408
2026-01-04 04:45:00+00:00,91446.9296875,91468.8046875,91350.6015625,91360.6796875,70467584
2026-01-04 05:00:00+00:00,91349.1484375,91359.8671875,91317.9609375,91355.15625,44998656
2026-01-04 05:15:00+00:00,91335.671875,91425.3125,91335.671875,91425.3125,40843264
2026-01-04 05:30:00+00:00,91419.8046875,91426.046875,91333.3203125,91341.78125,0
2026-01-04 05:45:00+00:00,91346.453125,91438.0,91346.453125,91432.5703125,125587456
2026-01-04 06:00:00+00:00,91434.1328125,91660.25,91434.1328125,91649.7890625,294586368
2026-01-04 06:15:00+00:00,91628.109375,91685.1796875,91540.2578125,91542.2734375,310069248
2026-01-04 06:30:00+00:00,91510.078125,91523.8203125,91288.46875,91288.46875,144654336
2026-01-04 06:45:00+00:00,91309.4375,91327.7265625,91213.8046875,91213.8046875,11630592
2026-01-04 07:00:00+00:00,91206.6875,91334.125,91206.6875,91312.84375,821807104
2026-01-04 07:15:00+00:00,91296.9765625,91302.21875,91214.71875,91251.6171875,0
2026-01-04 07:30:00+00:00,91265.0078125,91431.546875,91265.0078125,91431.546875,0
2026-01-04 07:45:00+00:00,91435.390625,91474.9375,91410.0625,91474.9375,116946944
2026-01-04 08:00:00+00:00,91487.390625,91487.390625,91254.4375,91318.109375,129423360
2026-01-04 08:15:00+00:00,91286.4765625,91325.65625,91176.1171875,91198.703125,131911680
2026-01-04 08:30:00+00:00,91203.390625,91319.84375,91203.390625,91319.84375,0
2026-01-04 08:45:00+00:00,91350.390625,91391.25,91267.515625,91307.09375,323491840
2026-01-04 09:00:00+00:00,91327.6875,91331.109375,91244.1015625,91244.1015625,244144128
2026-01-04 09:15:00+00:00,91274.1484375,91381.84375,91247.75,91260.78125,319795200
2026-01-04 09:30:00+00:00,91272.046875,91371.8984375,91272.046875,91371.8984375,218667008
2026-01-04 09:45:00+00:00,91374.6953125,91426.203125,91352.71875,91409.796875,170395648
2026-01-04 10:00:00+00:00,91418.1171875,91507.40625,91397.6953125,91507.40625,223315968
2026-01-04 10:15:00+00:00,91493.3046875,91509.171875,91387.0234375,91440.375,550623232
2026-01-04 10:30:00+00:00,91420.4296875,91511.671875,91420.4296875,91480.25,205903872
2026-01-04 10:45:00+00:00,91526.7578125,91554.625,91524.234375,91538.21875,336015360
2026-01-04 11:00:00+00:00,91533.859375,91533.859375,91355.8046875,91372.1484375,42153984
2026-01-04 11:15:00+00:00,91337.5,91341.8515625,91314.203125,91326.6328125,276637696
2026-01-04 11:30:00+00:00,91331.140625,91375.296875,91299.4921875,91311.875,53338112
2026-01-04 11:45:00+00:00,91318.1796875,91319.4375,91205.5,91235.6796875,156180480
2026-01-04 12:00:00+00:00,91236.4609375,91259.40625,91167.09375,91203.703125,29630464
2026-01-04 12:15:00+00:00,91197.34375,91288.71875,91193.109375,91288.71875,196726784
2026-01-04 12:30:00+00:00,91287.6796875,91300.234375,91099.5234375,91102.6875,236652544
2026-01-04 12:45:00+00:00,91081.125,91125.3125,91078.1171875,91098.34375,64536576
2026-01-04 13:00:00+00:00,91080.828125,91160.015625,91069.4609375,91150.2734375,54411264
2026-01-04 13:15:00+00:00,91113.0078125,91154.1484375,91015.5078125,91137.1640625,131336192
2026-01-04 13:30:00+00:00,91149.0,91196.28125,91145.7578125,91172.296875,94251008
2026-01-04 13:45:00+00:00,91180.4140625,91223.3515625,91180.4140625,91223.3515625,29476864
2026-01-04 14:00:00+00:00,91212.140625,91349.0859375,91204.265625,91349.0859375,57430016
2026-01-04 14:15:00+00:00,91348.5078125,91348.5078125,91194.46875,91194.46875,44902400
2026-01-04 14:30:00+00:00,91199.765625,91199.765625,91103.0546875,91143.1484375,80543744
2026-01-04 14:45:00+00:00,91114.71875,91298.671875,91114.71875,91270.609375,74428416
2026-01-04 15:00:00+00:00,91274.171875,91320.7109375,91247.71875,91277.6484375,0
2026-01-04 15:15:00+00:00,91272.125,91272.125,91181.328125,91197.015625,119277568
2026-01-04 15:30:00+00:00,91196.796875,91222.9921875,91152.34375,91192.171875,76484608
2026-01-04 15:45:00+00:00,91169.5703125,91285.25,91071.453125,91270.453125,131299328
2026-01-04 16:00:00+00:00,91286.796875,91391.921875,91222.0625,91242.6015625,308893696
2026-01-04 16:15:00+00:00,91231.1796875,91289.0,91219.4765625,91269.5859375,52654080
2026-01-04 16:30:00+00:00,91271.15625,91368.3515625,91247.9921875,91247.9921875,74379264
2026-01-04 16:45:00+00:00,91248.671875,91285.140625,91248.671875,91285.140625,0
2026-01-04 17:00:00+00:00,91282.5078125,91370.1953125,91276.5,91317.6328125,44218368
2026-01-04 17:15:00+00:00,91295.4140625,91385.578125,91282.6484375,91318.984375,55439360
2026-01-04 17:30:00+00:00,91323.921875,91391.234375,91323.921875,91342.9375,133775360
2026-01-04 17:45:00+00:00,91337.3046875,91352.390625,91294.09375,91297.8203125,110923776
2026-01-04 18:00:00+00:00,91294.46875,91294.46875,91190.765625,91190.765625,88014848
2026-01-04 18:15:00+00:00,91195.703125,91197.9609375,91112.4453125,91120.6875,77369344
2026-01-04 18:30:00+00:00,91124.3046875,91167.2109375,90965.75,91167.2109375,246560768
2026-01-04 18:45:00+00:00,91170.890625,91177.3828125,91116.390625,91161.8359375,108275712
2026-01-04 19:00:00+00:00,91164.640625,91164.640625,90877.046875,90934.8125,111085568
2026-01-04 19:15:00+00:00,91002.1171875,91126.296875,90986.203125,91069.9140625,1244166144
2026-01-04 19:30:00+00:00,91074.703125,91130.765625,91019.2734375,91050.7421875,15464448
2026-01-04 19:45:00+00:00,91021.875,91123.8125,91021.875,91099.46875,147152896
2026-01-04 20:00:00+00:00,91100.7890625,91219.640625,91084.6875,91219.640625,109803520
