date,open,high,low,close,volume
2024-03-04,134.6426963696791,134.6426963696791,130.92081742410656,132.3500213623047,55999400
2024-03-05,130.8910407129197,132.24084271980698,129.6901078028214,131.67510986328125,40194800
2024-03-06,132.12173002942825,132.57828715901485,129.86876363343262,130.4146270751953,35318600
2024-03-07,131.7941657419428,133.9280514056481,130.62302214566978,133.37225341796875,37738200
2024-03-08,133.20354849306366,137.0544415724304,132.99511664674006,134.39454650878906,39370400
2024-03-11,135.10917405073008,138.0569034084444,135.10917405073008,136.6376190185547,32437800
2024-03-12,136.0024024134986,138.33478567710262,136.0024024134986,137.4613800048828,27563400
2024-03-13,137.95763014261004,140.03195346478358,137.94771058521772,138.74169921875,23347200
2024-03-14,140.13119056235934,142.51318642779833,139.406669217812,142.02687072753906,42753400
2024-03-15,141.43138537879798,142.10627875552206,138.97990682068314,140.12127685546875,49475400
2024-03-18,147.4955587325886,151.00900524024846,146.06635501951953,146.57252502441406,69273700
2024-03-19,147.04894486376466,147.6742101661268,144.98454106374294,145.9274139404297,24070400
2024-03-20,146.89014708409312,147.74369854454548,145.63960128386148,147.62460327148438,21311500
2024-03-21,148.34912076601722,149.24236557867428,145.7983860112411,146.49314880371094,24755600
2024-03-22,148.0017532026702,150.44331247348805,147.86280366006199,149.63938903808594,29211800
2024-03-25,148.81559588391366,149.25229872799846,146.71149870171885,148.9446258544922,19229300
2024-03-26,149.09350817390973,151.11820364195134,148.85530247116668,149.54013061523438,22149100
2024-03-27,150.04628982187702,150.50284693295552,147.78338881509114,149.73861694335938,22879200
2024-03-28,149.71876999163942,150.2944071987847,149.0438614902864,149.79815673828125,24485400
2024-04-01,149.55998191808914,154.57211512447668,149.48058001874543,154.32398986816406,31730800
2024-04-02,152.34889138814307,153.53988946458512,151.0090090869194,153.40093994140625,24586000
2024-04-03,152.44816154374408,153.91705880149465,151.58467536489442,153.7582550048828,24705000
2024-04-04,152.34891345621864,153.6093940490146,149.3217821795186,149.40118408203125,34724700
2024-04-05,148.90493591423527,152.26951397177075,148.47816771886264,151.35641479492188,23459200
2024-04-08,151.63428239991117,154.1056150294735,151.4655590685636,153.6887664794922,20702000
2024-04-09,154.9194891977169,157.3709680650796,154.02624428775735,155.42567443847656,31079500
2024-04-10,155.03858328938844,155.43557761990488,153.52004287147383,154.96910095214844,22838600
2024-04-11,155.73331688903122,158.48253342575524,155.2866945214057,158.21456909179688,27166400
2024-04-12,156.7754510311415,159.0184976446993,155.9615930124083,156.5471649169922,25353700
2024-04-15,157.66868815581063,158.0458433310319,153.43070521818026,153.6986846923828,27136500
2024-04-16,153.03372500347797,154.4827679200494,152.27941458366453,153.2421417236328,20779500
2024-04-17,154.45299200861103,155.902050049897,153.42079769070784,154.3041229248047,21763100
2024-04-18,154.17508359846744,155.7630910697114,153.46048175084383,154.84005737304688,19883000
2024-04-19,155.02864105305625,155.1874448352903,151.157893513365,152.93446350097656,32615600
2024-04-22,153.15281939939192,156.45784938513543,152.90469416152254,155.10804748535156,26446200
2024-04-23,155.78295727916927,157.7778787559541,155.10804875158632,157.0731964111328,21151600
2024-04-24,156.30896002310516,158.37336355169876,155.99135249053967,157.93666076660156,22779100
2024-04-25,150.19516181159548,155.3164700492321,149.73860473773226,154.83013916015625,57109700
2024-04-26,173.06237276158643,173.39983456886753,168.3777674191163,170.6605224609375,64665300
2024-04-29,167.79220353593925,168.27853443993808,163.97108407090454,164.90402221679688,45610000
2024-04-30,164.36805950087611,166.83939196600213,161.3806375192715,161.5592803955078,33562900
2024-05-01,163.06789787937092,165.86674249047698,161.86696514908917,162.63119506835938,33493200
2024-05-02,163.5542352451639,165.47968963320443,162.66099039133817,165.37051391601562,24294500
2024-05-03,166.30346280179975,166.70047228284332,161.8272888066215,165.98587036132812,34662400
2024-05-06,166.20420129812592,166.87909461614606,164.7849171879721,166.8394012451172,21871300
2024-05-07,167.23641214858006,170.47195983372737,167.12723643695188,169.96578979492188,28039700
2024-05-08,167.73266229376583,168.87403234038655,167.4746174960537,168.1098175048828,19569100
2024-05-09,168.11975296963985,169.41000736900705,166.91882003050563,168.68548583984375,15346700
2024-05-10,166.76992345897793,168.57628234941276,164.94372545466877,167.38526916503906,29799900
2024-05-13,163.02820299532175,168.0105620780994,162.77015819649304,167.87161254882812,31327600
2024-05-14,168.49690435742923,169.96580164362084,167.5341771453294,169.0626220703125,25127100
2024-05-15,169.35043246910703,171.35527337198997,169.23132206360498,171.21632385253906,26948400
2024-05-16,171.990499747309,173.80677848039133,171.3950082058099,172.8738250732422,27867900
2024-05-17,172.87380893604973,174.94814744007684,172.387493160876,174.73971557617188,24479300
2024-05-20,174.86874028439564,177.42939448654315,174.7595645769426,175.59326171875,22554400
2024-05-21,175.57342356539291,176.814049834635,174.4916010932611,176.5163116455078,16989400
2024-05-22,175.31535679142465,175.82152679389606,173.89608778649955,175.05731201171875,17880000
2024-05-23,175.7421581518555,176.913302054648,171.65304376131735,172.24855041503906,21024900
2024-05-24,173.66778441589625,174.45186852274375,172.34775654466458,173.67771911621094,16579400
2024-05-28,173.14178984862892,175.94064983167806,173.06238795431943,175.07716369628906,20572200
2024-05-29,174.1144102474504,175.51384002756012,173.4097431514988,174.5808868408203,23388700
2024-05-30,173.88616018139018,173.90601444044296,170.50172837010513,170.8193359375,22931500
2024-05-31,170.57123607233086,171.76223433846474,168.16938527805758,171.20643615722656,37638900
2024-06-03,171.24613364350031,173.22121629038867,169.87649241956527,171.8714141845703,27459100
2024-06-04,171.98055484617473,172.5462876288162,170.60097920010114,172.48672485351562,26879600
2024-06-05,173.88617261813178,175.32529604295863,172.62569210446975,174.0946044921875,22068500
2024-06-06,174.58093116156974,175.8215574920083,174.43206205966288,175.4047088623047,23251000
2024-06-07,175.72229190224542,176.53613478615,172.9929143569092,173.15171813964844,19661400
2024-06-10,173.85721846258227,175.9339227397018,171.66126705733578,173.89695739746094,23726700
2024-06-11,175.09925413873597,175.71530612964037,172.66483900249895,175.4967041015625,21540600
2024-06-12,177.11633707085997,179.2626031953618,174.9899479924397,176.6592559814453,27864700
2024-06-13,174.98992963777008,175.6159276488582,173.76775676245995,174.0459747314453,20913300
2024-06-14,173.1119868726637,175.93392123908885,173.04242478503753,175.66563415527344,18063600
